codigo,descripcion,unidad,Saldoin-Cantidad,Saldoin-Valor,ent-Cantidad,ent-Valor,sal-Cantidad,sal-Valor,sadout-Cantidad,saldout-Valor,SUB-CATEGORIA,tipo,estado_mat,descripcion_material,titulo,color,color_id
02-26-48,,KILOS,0.0,0.0,192.0,192.0,192.0,192.0,0.0,0.0,2/18,HB,,,2/18,CONFITE,2002
02-26-49,,KILOS,0.0,0.0,189.5,189.5,189.5,189.5,0.0,0.0,2/18,HB,,,2/18,CONFITE,2002
02-26-54,,KILOS,0.0,0.0,199.5,199.5,199.5,199.5,0.0,0.0,2/18,HB,,,2/18,NARANJA,1023
02-26-55,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,NEGRO,5000
02-26-56,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,AM. LIMON,0024
02-26-60,,KILOS,0.0,0.0,198.0,198.0,198.0,198.0,0.0,0.0,2/18,HB,,,2/18,GALLETA,6010
02-26-63,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,CAFE ROJISO,6013
02-26-64,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,NEGRO,5000
02-26-66,,KILOS,0.0,0.0,199.0,199.0,199.0,199.0,0.0,0.0,2/18,HB,,,2/18,VICUÑA,6011
02-26-68,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,BEIGE HUESO,6003
02-26-69,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
02-26-71,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
02-26-75,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,LILA OCRE,7020
02-26-79,,KILOS,0.0,0.0,214.5,214.5,214.5,214.5,0.0,0.0,2/18,HB,,,2/18,LILA,7040
02-26-80,,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,,2/18,ROJO,3006
02-26-85,,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,,2/18,NEGRO,5000
02-26-86,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3018
03-25-38,,KILOS,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,2/18,HB,,,2/18,TURQUEZA,7003
03-25-46,,KILOS,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,2/18,HB,,,2/18,TURQUEZA,7003
03-26-03,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3045
03-26-06,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,CARTON AMARILLO,6004
03-26-08,,KILOS,0.0,0.0,196.0,196.0,196.0,196.0,0.0,0.0,2/18,HB,,,2/18,VICUÑA,6011
03-26-11,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,VERDE BOTELLA,4011
03-26-13,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,AZUL PETROLEO,7009
03-26-15,,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,,2/18,CALIPSO,7008
03-26-17,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,VERDE BANDERA,4010
03-26-19,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,VERDE BOTELLA,4011
03-26-24,,KILOS,0.0,0.0,202.0,202.0,201.5,201.5,0.5,0.5,2/18,HB,,,2/18,AMARILLO CANCARIO,0015
03-26-25,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,ESMERALDA,4055
03-26-28,,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,,2/18,VICUÑA,6007
03-26-29,,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,,2/18,MORADO,7023
03-26-34,,KILOS,0.0,0.0,213.5,213.5,213.5,213.5,0.0,0.0,2/18,HB,,,2/18,FUCSIA,3009
03-26-37,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,AZUL MARINO,7013
03-26-39,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,MORADO,7023
03-26-41,,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,2/18,HB,,,2/18,BEIGE HUESO,6003
03-26-45,,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,,2/18,V. EASMERALDA,4033
04-26-04,,KILOS,0.0,0.0,214.5,214.5,214.5,214.5,0.0,0.0,2/18,HB,,,2/18,FUCSIA,3049
04-26-05,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,AM. CANARIO,0015
04-26-07,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,ROJO,3006
04-26-09,,KILOS,0.0,0.0,210.0,210.0,210.0,210.0,0.0,0.0,2/18,HB,,,2/18,CARTON AMARILLO,6004
04-26-10,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,NEGRO,5000
04-26-11,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,BEIGE OSC.,6021
04-26-12,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,VERDE COCA,4036
04-26-14,,KILOS,0.0,0.0,215.0,215.0,215.0,215.0,0.0,0.0,2/18,HB,,,2/18,CICLAN,2004
04-26-16,,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,,2/18,MARFIL,0022
04-26-18,,KILOS,0.0,0.0,203.5,203.5,202.5,202.5,1.0,1.0,2/18,HB,,,2/18,CONFITE,2008
04-26-19,,KILOS,0.0,0.0,216.0,216.0,216.0,216.0,0.0,0.0,2/18,HB,,,2/18,SALMON,3003
04-26-21,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,CONFITE,2008
04-26-23,,KILOS,0.0,0.0,216.0,216.0,204.0,204.0,12.0,12.0,2/18,HB,,,2/18,CALIPSO MEDIO,7098
04-26-25,,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,,2/18,AMARILLO CANARIO,0021
04-26-27,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
04-26-28,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,TURQUEZA,7003
04-26-29,,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,,2/18,AMARILLO LIMON,0024
04-26-31,,KILOS,0.0,0.0,196.5,196.5,196.5,196.5,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
04-26-32,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,CALIPSO,7008
04-26-33,,KILOS,0.0,0.0,212.5,212.5,212.5,212.5,0.0,0.0,2/18,HB,,,2/18,AMARILLO LIMON,0024
04-26-36,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,CONFITE,2008
04-26-37,,KILOS,0.0,0.0,216.0,216.0,216.0,216.0,0.0,0.0,2/18,HB,,,2/18,V. LECHUGA,4008
04-26-38,,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,,2/18,ROJO,3017
04-26-40,,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,,2/18,VERDE COCA,4036
04-26-41,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,AZUL PASTEL,7012
04-26-42,,KILOS,0.0,0.0,213.5,213.5,213.5,213.5,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3018
04-26-43,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,NEGRO,5000
04-26-45,,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,,2/18,ROJO SANDIA,3023
04-26-46,,KILOS,0.0,0.0,212.5,212.5,212.5,212.5,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3045
04-26-47,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,FUCSIA,3049
04-26-49,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,AZUL PASTEL,7012
04-26-53,,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,,2/18,GUINDO,3027
04-26-58,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,ROJO,3006
04-26-59,,KILOS,0.0,0.0,199.5,199.5,199.5,199.5,0.0,0.0,2/18,HB,,,2/18,MORADO,7023
04-26-64,,KILOS,0.0,0.0,190.5,190.5,190.5,190.5,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
04-26-65,,KILOS,0.0,0.0,199.0,199.0,199.0,199.0,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
04-26-67,,KILOS,0.0,0.0,212.0,212.0,212.0,212.0,0.0,0.0,2/18,HB,,,2/18,PLOMO PLATA,8009
04-26-69,,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,,2/18,CAFE ROJISO,6013
04-26-71,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,VERDE COCA,4036
04-26-72,,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,,2/18,SALMON,3003
04-26-74,,KILOS,0.0,0.0,215.0,215.0,215.0,215.0,0.0,0.0,2/18,HB,,,2/18,CLAVEL,3034
05-26-02,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,V. LECHUGA,4007
05-26-04,,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,,2/18,NEGRO,5000
05-26-06,,KILOS,0.0,0.0,214.5,214.5,214.5,214.5,0.0,0.0,2/18,HB,,,2/18,VERDE LECHUGA,4007
05-26-08,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,TURQUEZA,7003
05-26-11,,KILOS,0.0,0.0,215.0,215.0,215.0,215.0,0.0,0.0,2/18,HB,,,2/18,CICLAN BAJO,2011
05-26-12,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,CARTON AMARILLO,6004
05-26-14,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,AZUL PETROLEO,7009
05-26-16,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,VERDE BANDERA,4010
05-26-18,,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,,2/18,GALLETA,6010
05-26-19,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,NEGRO,5000
05-26-22,,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,,2/18,AZUL PASTEL,7012
05-26-23,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,NEGRO,5000
05-26-28,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,VERDE COCA,4036
05-26-29,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,VICUÑA,6026
05-26-32,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3045
05-26-35,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
05-26-37,,KILOS,0.0,0.0,215.0,215.0,215.0,215.0,0.0,0.0,2/18,HB,,,2/18,CICLAN OSC.,2005
05-26-38,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
05-26-40,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,AM. ORO,0016
05-26-43,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,PLOMO PLATA,8009
05-26-44,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,FUCSIA,3039
05-26-47,,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,,2/18,VERDE BANDERA,4010
05-26-48,,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
05-26-50,,KILOS,0.0,0.0,212.0,212.0,212.0,212.0,0.0,0.0,2/18,HB,,,2/18,FLOR DE PAPA,7089
05-26-51,,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,,2/18,GUINDO,3027
05-26-52,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,CICLAN,2004
05-26-54,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,SANDIA,3004
06-26-01,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,ROJO,3006
06-26-02,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,PLOMO,8010
06-26-03,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,CONFITE,2008
06-26-05,,KILOS,0.0,0.0,198.5,198.5,198.5,198.5,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
06-26-06,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,SANDIA,3004
06-26-09,,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,,2/18,NARANJA,1023
06-26-10,,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,,2/18,TURQUEZA,7003
06-26-12,,KILOS,0.0,0.0,199.5,199.5,199.5,199.5,0.0,0.0,2/18,HB,,,2/18,GUINDO,3027
06-26-15,,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,2/18,HB,,,2/18,BIEGE OSC.,6021
06-26-19,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,VERDE PACAY,4035
06-26-20,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,VICUÑA,6011
06-26-23,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,ACERO,7062
06-26-24,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3018
06-26-25,,KILOS,0.0,0.0,211.0,211.0,211.0,211.0,0.0,0.0,2/18,HB,,,2/18,NARANJA,1013
06-26-27,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,AZUL PETROLEO,7009
06-26-30,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,GALLETA,6010
06-26-32,,KILOS,0.0,0.0,211.5,211.5,211.5,211.5,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3045
06-26-33,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,VERDE BANDERA,4010
06-26-36,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,VERDE MEDIO,4029
06-26-37,,KILOS,0.0,0.0,211.0,211.0,211.0,211.0,0.0,0.0,2/18,HB,,,2/18,FUCSIA,3009
06-26-40,,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,,2/18,MORADO,7044
06-26-41,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
06-26-44,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,CALIPSO,7008
06-26-48,,KILOS,0.0,0.0,198.5,198.5,198.5,198.5,0.0,0.0,2/18,HB,,,2/18,ROJO,3006
06-26-50,,KILOS,0.0,0.0,214.5,214.5,214.5,214.5,0.0,0.0,2/18,HB,,,2/18,C. AMARILLO,6004
06-26-51,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3045
06-26-52,,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,,2/18,BEIGE OSC.,6021
06-26-53,,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,,2/18,AMARILLO ORO,0016
06-26-57,,KILOS,0.0,0.0,198.0,198.0,198.0,198.0,0.0,0.0,2/18,HB,,,2/18,BLANCO,0010
06-26-60,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,CAFE ROJISO,6013
06-26-62,,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,,2/18,VERDE BOTELLA,4057
06-26-64,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,KANTUTA,3018
06-26-66,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,GUINDO,3033
06-26-69,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,SANDIA,3023
06-26-70,,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,,2/18,CONFITE,2007
07-26-04,,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,,2/18,CICLAN,2004
