codigo,descripcion,unidad,Saldoin-Cantidad,Saldoin-Valor,ent-Cantidad,ent-Valor,sal-Cantidad,sal-Valor,sadout-Cantidad,saldout-Valor,SUB-CATEGORIA,tipo,estado_mat,descripcion_material
04-26-33,AMARILLO LIMON  0024  2/18,KILOS,0.0,0.0,212.5,212.5,212.5,212.5,0.0,0.0,2/18,HB,,
04-26-36,CONFITE  2008  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
04-26-37,V. LECHUGA  4008  2/18,KILOS,0.0,0.0,216.0,216.0,216.0,216.0,0.0,0.0,2/18,HB,,
04-26-38,ROJO  3017  2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,
04-26-40,VERDE COCA  4036  2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,
04-26-41,AZUL PASTEL  7012  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
04-26-42,KANTUTA  3018  2/18,KILOS,0.0,0.0,213.5,213.5,213.5,213.5,0.0,0.0,2/18,HB,,
04-26-43,NEGRO  5000  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
04-26-45,ROJO SANDIA  3023  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
04-26-46,KANTUTA  3045  2/18,KILOS,0.0,0.0,212.5,212.5,212.5,212.5,0.0,0.0,2/18,HB,,
04-26-47,FUCSIA  3049  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
04-26-49,AZUL PASTEL  7012  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
04-26-53,GUINDO  3027  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
04-26-58,ROJO  3006  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
04-26-59,MORADO  7023  2/18,KILOS,0.0,0.0,199.5,199.5,199.5,199.5,0.0,0.0,2/18,HB,,
